ManagerID,manager_attrition_rate
3.0,0.0
5.0,0.0
8.0,1.0
9.0,1.0
11.0,0.0
14.0,0.6666666666666666
15.0,0.0
16.0,1.0
18.0,0.0
19.0,0.0
25.0,0.0
27.0,0.0
28.0,1.0
29.0,1.0
32.0,1.0
34.0,1.0
37.0,0.0
38.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
45.0,1.0
46.0,0.5
47.0,0.5
48.0,1.0
52.0,1.0
56.0,0.0
57.0,1.0
58.0,0.5
60.0,1.0
64.0,1.0
67.0,0.0
70.0,1.0
75.0,1.0
81.0,0.0
83.0,1.0
84.0,1.0
88.0,0.0
89.0,1.0
92.0,0.0
94.0,1.0
95.0,0.0
99.0,1.0
100.0,1.0
104.0,1.0
105.0,0.0
110.0,1.0
113.0,0.0
115.0,0.6666666666666666
116.0,0.0
120.0,1.0
121.0,1.0
124.0,0.0
126.0,1.0
127.0,0.0
129.0,1.0
136.0,1.0
141.0,0.0
143.0,1.0
144.0,0.0
145.0,1.0
153.0,0.5
154.0,0.0
155.0,0.0
157.0,1.0
159.0,0.0
160.0,0.0
162.0,1.0
163.0,0.0
164.0,0.0
168.0,1.0
169.0,1.0
170.0,0.0
173.0,1.0
175.0,0.0
178.0,1.0
179.0,0.0
181.0,0.0
182.0,0.0
184.0,0.0
186.0,1.0
189.0,1.0
190.0,1.0
193.0,0.5
194.0,0.5
195.0,0.0
197.0,1.0
199.0,0.0
208.0,1.0
217.0,0.0
219.0,0.0
222.0,1.0
224.0,1.0
226.0,1.0
227.0,0.5
228.0,1.0
231.0,0.0
232.0,0.0
236.0,1.0
238.0,0.0
243.0,1.0
248.0,0.0
251.0,1.0
252.0,0.0
254.0,1.0
255.0,1.0
258.0,0.5
262.0,1.0
266.0,0.25
267.0,0.0
268.0,0.5
271.0,1.0
278.0,1.0
284.0,1.0
286.0,0.0
287.0,1.0
294.0,0.0
296.0,0.0
299.0,0.0
301.0,0.0
303.0,1.0
305.0,1.0
307.0,0.0
309.0,1.0
311.0,0.5
312.0,1.0
313.0,1.0
320.0,0.5
323.0,0.0
326.0,1.0
328.0,0.5
331.0,0.0
333.0,0.0
334.0,1.0
335.0,0.6666666666666666
339.0,1.0
342.0,0.0
345.0,1.0
351.0,0.0
356.0,0.0
357.0,0.0
358.0,1.0
359.0,0.0
362.0,0.0
363.0,0.0
367.0,1.0
369.0,1.0
373.0,1.0
376.0,0.0
377.0,0.0
379.0,0.0
380.0,1.0
383.0,1.0
385.0,1.0
387.0,1.0
389.0,0.5
391.0,0.0
392.0,0.0
393.0,1.0
395.0,0.0
397.0,0.5
398.0,1.0
399.0,0.0
400.0,1.0
401.0,1.0
402.0,1.0
403.0,0.0
404.0,0.0
407.0,0.5
408.0,1.0
410.0,1.0
412.0,1.0
413.0,0.5
415.0,0.0
417.0,1.0
419.0,0.75
420.0,0.0
421.0,1.0
424.0,1.0
425.0,1.0
426.0,1.0
427.0,1.0
437.0,0.0
438.0,0.0
439.0,0.0
446.0,0.5
447.0,1.0
449.0,1.0
450.0,0.0
451.0,0.0
452.0,1.0
453.0,0.0
454.0,1.0
456.0,0.5
459.0,1.0
460.0,0.0
464.0,0.5
467.0,1.0
468.0,1.0
471.0,0.0
472.0,0.0
475.0,0.3333333333333333
479.0,1.0
484.0,0.0
487.0,0.0
488.0,1.0
489.0,0.0
491.0,1.0
495.0,0.0
498.0,0.0
499.0,0.0
503.0,0.0
509.0,0.0
516.0,0.0
519.0,0.0
522.0,0.0
523.0,1.0
530.0,0.0
531.0,1.0
532.0,1.0
534.0,1.0
537.0,0.6666666666666666
539.0,0.0
542.0,0.0
547.0,0.0
548.0,1.0
553.0,0.5
555.0,0.0
